ndk
adk
trxB
coaD
coaA
gmk
nadD
yfjB
glgA
glgC
pgsA
cls
tmk
ribF
ribD
ribA
ribB
ribE
ribH
folA
folE
pabC
pabA
folC
folK
folP
aroC
metF
pabB
aroA
folB
aroD
aroB
accD
accB
cdsA
accA
fabG
accC
fabD
fabI
fabA
fabZ
fabB
plsC
fabF
plsB
pssA
psd
lpxB
rfaG
lpxC
rfaL
lpxA
rfaJ
lpxD
lpxK
ushA
rfaE
rfaD
rfaF
rfaI
kdsA
kdsB
gmhA
msbB
kdtA
yaeD
rfaC
lpxL
glmU
mrsA
murB
murD
murG
murC
murA
murE
murF
murI
mraY
