Genes
ndk
accD
accB
accA
accC
fabD
fabG
fabI
mrsA
glmU
fabA
fabZ
fabB
fabF
plsC
plsB
cdsA
pldA
adk
kdsA
lpxA
lpxC
lpxD
ushA
lpxB
lpxK
dsB
kdtA
dxs
dxr
ispF
ispE
ispD
gcpE
lytB
ispA
uppS
gmk
pgsA
lpxP
msbB
lpxL
murB
murC
murA
murI
murD
murE
murF
mraY
murG
gltX
cls
ribB
mgsA
thiL
wecA
prsA
pssA
psd
metK
astA
tmk
