Blattner	name
b0924	mukB
b3839	tatC
b3565	xylA
b0402	proY
b0194	proS
b2732	ygbA
b3113	tdcF
b3562	yiaA
b2463	maeB
b0753	ybgS
b3446	yrhB
b0554	essD
b3781	trxA
b3753	rbsR
b1230	tyrV
b3485	yhhJ
b3083	higB
b2464	talA
b2735	ygbI
b3673	emrD
b2150	mglB
b2682	ygaZ
b1876	argS
b0225	yafQ
NIL	3'ETS<sup><i>leuZ</i></sup>
b2618	yfjF
b4437	sibB
b3208	mtgA
b2927	epd
b0426	yajQ
b0960	yccS
b1064	grxB
b4035	malK
b0272	xynR
b3357	crp
b0147	thpR
b1837	yebW
b2937	speB
b3834	ubiJ
b3836	tatA
b0084	ftsI
b2837	galR
b3193	mlaD
b2114	metG
b1793	yoaF
b2887	ygfT
b1981	shiA
b4487	yjdP
b3151	yraQ
b0247	ykfG
b2582	trxC
b2417	crr
b3545	proK
b3664	adeQ
b4146	epmB
b2965	speC
b1914	uvrY
b0887	cydD
b0064	araC
b1833	yebS
b0642	leuS
b0018	mokC
b4686	yshB
b1248	yciU
b4438	cyaR
b3189	murA
b4700	sokE
b0379	yaiY
b2673	nrdH
b0347	mhpA
b1558	cspF
b1323	tyrR
b4430	rydB
b1685	ydiH
b2988	gss
b3187	ispB
b2910	zapA
b0462	acrB
b4089	alsR
b3792	wzxE
b1715	pheM
b0364	yaiS
b2776	ygcE
b1634	dtpA
NIL	NIL
b2899	yqfA
b1306	pspC
b2537	hcaR
b4083	yjcS
b3798	leuT
b0862	artQ
b4155	epmA
b0120	speD
b0416	nusB
b2771	ygcS
b1390	paaC
b0952	pqiC
b3559	glyS
b4423	ldrC
b4515	cydX
b3362	yhfG
b4431	rprA
b3729	glmS
b4527	ydaF
b0187	yaeR
b0269	yagF
b3801	aslA
b2637	yfjT
b0566	envY
b4450	arcZ
b1471	yddK
b2938	speA
b2889	idi
b3247	rng
b2470	acrD
b3137	kbaY
b3661	nlpA
b3384	trpS
b3596	yibG
b2490	hyfJ
b1492	gadC
b2956	yggM
b2778	ygcG
b2447	yffP
b3583	sgbE
b2811	csdE
b3757	gltU
b3184	yhbE
b4577	sgrS
b1584	speG
b3375	frlR
b3849	trkH
b3601	mtlR
b4261	lptF
b0680	glnS
b4412	hokC
b2467	nudK
b1862	yebB
b4128	ghoS
b1782	mipA
b3576	yiaL
b4749	ynfR
b3881	yihT
b0935	ssuD
b2351	yfdH
b1013	rutR
NIL	sroE
b1268	yciQ
b0121	speE
b0662	ubiF
b0149	mrcB
b3838	tatB
b1236	galU
b0891	lolA
b0930	asnS
b4199	yjfY
b2145	yeiS
b0842	mdfA
b2187	yejL
b2504	yfgG
b1567	ydfW
b2751	cysN
b1617	uidA
b2694	argV
b1185	dsbB
b4422	rdlB
b1636	pdxY
b3521	yhjC
b2392	mntH
b3750	rbsC
b1714	pheS
b0226	dinJ
b3548	yhjY
b2432	yfeY
b1563	relE
b3730	glmU
b4001	yjaH
b4732	ykiD
b1987	cbl
b4119	melA
b1544	ydfK
b4480	hdfR
b4418	sraB
b0767	pgl
b0965	yccU
b2418	pdxK
b2906	ubiI
b0014	dnaK
b0070	setA
b4033	malF
b2610	ffh
b1742	ves
b1869	yecN
b0572	cusC
b3689	yidR
b2226	yfaQ
b1144	ymfJ
b2762	cysH
b2804	fucU
b3761	trpT
b4354	btsT
b0755	gpmA
b4424	rdlC
b1638	pdxH
b2163	yeiL
b1918	tcyL
b1735	chbR
b2972	pppA
b4428	hokB
b2124	yehS
b1122	ymfA
b4444	omrA
b0381	ddlA
b0702	ybfB
b4670	yjeV
b2422	cysA
b1415	aldA
b0550	rusA
b3556	cspA
b4585	chiX
b3919	tpiA
b0380	yaiZ
b3962	sthA
b2263	menH
b0102	zapD
b0627	tatE
b4478	dgoD
b0659	ybeY
b0005	yaaX
b1687	ydiJ
b2365	dsdX
b4257	yjgN
b1877	yecT
b0268	yagE
b1680	sufS
b4474	frlC
b2814	metZ
b3785	wzzE
b2926	pgk
b4413	sokC
b2042	galF
b3515	gadW
b1632	rsxE
b2095	gatZ
b0097	secM
b4419	ldrA
b2012	yeeD
b4380	yjjI
b4162	orn
b0090	murG
b1209	lolB
b4534	ynfP
b2522	sseB
b1387	paaZ
b4501	torI
b2289	lrhA
b4701	sokX
b0080	cra
b0213	yafS
b2795	ppnN
b2515	ispG
b3641	slmA
b3569	xylR
b3340	fusA
b3675	yidG
b1472	yddL
b3196	yrbG
b3472	dcrB
b1725	yniA
b1353	sieB
b3917	sbp
b3093	exuT
b3069	ileX
b3173	yhbX
b4395	ytjC
b4429	sokB
b0480	ushA
b3680	yidL
b1486	ddpB
b3575	yiaK
b4550	arfA
b1182	hlyE
b3663	yicN
b3354	yheU
b2830	rppH
b0433	ampG
b3121	yhaC
b0599	hcxA
b0937	ssuE
b4086	alsC
b1562	hokD
b4116	adiY
b4433	sdsR
b0113	pdhR
b4750	ynfS
b0340	cynS
b3042	ubiK
b1174	minE
b3719	yieL
b3486	rbbA
b2325	yfcL
b1287	yciW
b2313	cvpA
b3221	yhcH
b1491	yddW
b1158	pinE
b2425	cysP
b0394	mak
b0668	glnW
b3291	mscL
b1854	pykA
b4420	rdlA
b0339	cynT
b3963	fabR
b1855	lpxM
b3668	uhpB
b4414	tff
b0170	tsf
b0233	yafO
b3215	yhcA
b1672	ydhW
b4445	omrB
b0088	murD
b0736	ybgC
b3573	ysaA
b2763	cysI
b2416	ptsI
b1570	dicA
b4398	creB
b0528	ybcJ
b1779	gapA
b4733	ylcJ
b3843	ubiD
b0435	bolA
b3827	bioP
b1818	manY
b4687	shoB
b0637	rsfS
b0919	ycbJ
b0989	cspH
b4359	opgB
b4469	ygiQ
b1295	ymjA
b4306	yjhP
b1757	ynjE
