Abbreviation
uaagmda
uagmda
lipa

12dgr
2dmmq8
2dmmql8
2me4p
2mecdp
2ombzl
2omhmbl
2ommbl
2omph
3hmrsACP
5mthf
accoa
acgam1p
actACP
adp
agpg
amet
atp
cdpdag1
clpn
coa
ctp
datp
db4p
dctp
ddcaACP
dgtp
dmpp
dtdp
dttp
dxyl5p
fad
frdp
gam1p
gdp
glu-D
glutrna
glycogen
grdp
gtp
h2mb4p
hdcea
hdeACP
hemeO
ipdp
kdo
kdo2lipid4
kdo2lipid4L
kdo2lipid4p
kdo8p
kdolipid4

lipa_cold
lipidA
lipidAds
lipidX
lps
malACP
mql8
mqn8
mthgxl
nad
nadh
nadp
nadph
ocdcea
octeACP
pa
pap
pe
peptido
pg
pgp
prpp
ps
q8
q8h2
sucarg
succoa
tdeACP
thmpp
ttdcea
u23ga
u3aga
u3hga
uama
uamag
udcpdp
udcpp
udpg
ugmd
ugmda
unaga
utp
