Metabolites
uaagmda
uagmda
lipa
kdo2lipid4p
lipa
kdo2lipid4L
kdo2lipid4
kdolipid4
lipidA
lipidAds
lipidX
u23ga
u3hga
u3aga
ttdcea
hdcea
ocdcea
agpg_EC
pe_EC
ps_EC
clpn_EC
pg_EC
pgp_EC
cdpdag_EC
12dgr_EC
pa_EC
octeACP
tdeACP
hdeACP
ddcaACP
3hmrsACP
actACP
malACP
peptido_EC
ugmda
ugmd
uamag
uama
unaga
udcpdp
udcpp
grdp
frdp
dmpp
ipdp
h2mb4p
2mecdp
mthgxl
db4p
acgam1p
gam1p
thmpp
sucarg
dtdp
kdo
kdo8p
glu__L
2me4p
dxyl5p
glutrna
prpp
amet
pap
atp
adp
gdp
gtp
