ids	5mthf_c	accoa_c	ala__L_c	amp_c	arg__L_c	asn__L_c	asp__L_c	atp_c	clpn_EC_c	coa_c	ctp_c	cys__L_c	datp_c	dctp_c	dgtp_c	dttp_c	fad_c	gln__L_c	glu__L_c	gly_c	glycogen_c	gtp_c	h2o_c	his__L_c	ile__L_c	leu__L_c	lps_EC_c	lys__L_c	met__L_c	nad_c	nadh_c	nadp_c	nadph_c	pe_EC_c	peptido_EC_c	pg_EC_c	phe__L_c	pro__L_c	ps_EC_c	ptrc_c	ser__L_c	spmd_c	succoa_c	thr__L_c	trp__L_c	tyr__L_c	udpg_c	utp_c	val__L_c
frozenset({'b2978'})	91.48438634713196	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999994	209.99999999999974	419.9999999999959	13.333333333332513	0.4000000000000267	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000014	420.0000000000022	420.0000000000007	429.43373493975844	13.333333333331153	1000.0	150.00000000000014	429.9999999999997	440.0000000000003	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.800000000000024	55.00000000000002	0.7999999999999798	287.89680851063764	419.99999999999955	0.7999999999999994	210.00000000000009	420.00000000000017	150.00000000000006	13.333333333333535	420.00000000000153	201.81229124916518	275.20101522842555	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b1872'})	90.96151053013747	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999994	209.99999999999974	419.9999999999959	13.333333333332513	0.4000000000000267	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000014	420.0000000000025	420.00000000000114	426.4216867469874	13.333333333331153	1000.0	150.0000000000002	430.0000000000003	439.99999999999983	12.876931447225253	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.800000000000024	55.00000000000004	0.7999999999999795	286.524468085106	419.99999999999955	0.7999999999999994	210.00000000000009	420.00000000000034	149.93316455696208	13.333333333333535	419.4480545527481	200.9505678022717	273.8913705583749	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b0186'})	91.48438634713169	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999994	209.99999999999974	419.9999999999959	13.333333333332513	0.4000000000000267	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000014	420.0000000000025	420.00000000000114	429.43373493975855	13.333333333331153	1000.0	150.0000000000002	430.0000000000003	439.99999999999983	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.800000000000024	55.00000000000004	0.7999999999999795	287.89680851063764	419.99999999999955	0.7999999999999994	210.00000000000009	420.00000000000034	150.0	13.333333333333535	420.0000000000007	201.81229124916518	275.20101522842555	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b2797'})	91.48438634713169	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999994	209.99999999999974	419.9999999999959	13.333333333332513	0.4000000000000267	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000014	420.0000000000025	420.00000000000114	429.43373493975855	13.333333333331153	1000.0	150.0000000000002	430.0000000000003	439.99999999999983	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.800000000000024	55.00000000000004	0.7999999999999795	287.89680851063764	419.99999999999955	0.7999999999999994	210.00000000000009	420.00000000000034	150.0	13.333333333333535	420.0000000000007	201.81229124916518	275.20101522842555	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b0061'})	91.48438634713169	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999994	209.99999999999974	419.9999999999959	13.333333333332513	0.4000000000000267	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000014	420.0000000000025	420.00000000000114	429.43373493975855	13.333333333331153	1000.0	150.0000000000002	430.0000000000003	439.99999999999983	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.800000000000024	55.00000000000004	0.7999999999999795	287.89680851063764	419.99999999999955	0.7999999999999994	210.00000000000009	420.00000000000034	150.0	13.333333333333535	420.0000000000007	201.81229124916518	275.20101522842555	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b2677'})	91.48438634713169	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999999	209.99999999999966	419.9999999999963	13.333333333332513	0.4000000000000267	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000014	420.0000000000025	420.00000000000114	429.43373493975855	13.333333333331153	1000.0	150.0000000000002	430.0000000000003	439.99999999999983	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.800000000000024	55.00000000000004	0.7999999999999795	287.89680851063764	419.99999999999955	0.7999999999999994	210.00000000000009	420.00000000000034	150.0	13.333333333333535	420.0000000000007	201.81229124916518	275.20101522842555	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b1851'})	91.48438634713169	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999999	209.99999999999966	419.99999999999966	13.333333333332513	0.40000000000002595	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000009	420.00000000000256	420.00000000000125	428.7803921568622	13.3333333333311	1000.0	150.0000000000002	430.0000000000003	440.0	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.8000000000000315	55.0	0.7999999999999795	287.89680851063764	419.99999999999994	0.7999999999999987	210.00000000000014	419.99999999999983	150.0	13.333333333333535	420.0000000000007	201.81229124916518	275.20101522842555	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b4232'})	91.48438634713169	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999999	209.99999999999966	419.99999999999966	13.333333333332513	0.40000000000002595	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000009	420.00000000000256	420.00000000000125	429.43373493975866	13.3333333333311	1000.0	150.0000000000002	430.0000000000003	440.0	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.8000000000000315	55.0	0.7999999999999795	287.89680851063764	419.99999999999994	0.7999999999999987	210.00000000000014	419.99999999999983	150.0	13.333333333333535	420.0000000000007	201.81229124916518	275.20101522842555	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b0029'})	91.48438634713169	13.33333333333339	420.00000000000034	39.99999999999989	104.99999999999999	209.99999999999966	419.99999999999966	13.333333333332513	0.40000000000002595	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000009	420.00000000000256	420.00000000000125	429.43373493975866	13.3333333333311	1000.0	150.0000000000002	430.0000000000003	440.0	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.8000000000000315	55.0	0.7999999999999795	287.89680851063764	419.99999999999994	0.7999999999999987	210.00000000000014	419.99999999999983	150.0	13.333333333333535	420.0000000000007	201.81229124916518	275.20101522842555	19.99999999999971	13.333333333333323	430.00000000000176
frozenset({'b2661'})	91.48438634713169	13.33333333333339	420.0000000000003	39.99999999999985	104.99999999999993	209.99999999999986	419.99999999999966	13.33333333333251	0.40000000000002595	13.333333333334185	13.333333333333355	20.0	13.333333333333345	13.333333333333732	13.333333333333355	13.333333333333286	19.99999999999984	210.00000000000009	420.0000000000033	420.00000000000136	429.43373493975866	13.3333333333311	1000.0	150.00000000000014	429.99999999999955	440.0	12.955277475516874	229.99999999999994	29.99999999999999	29.999999999999467	30.000000000000007	20.000000000000078	20.00000000000008	0.8000000000000305	55.00000000000194	0.7999999999999915	287.83297872340376	420.0	0.7999999999999448	210.00000000000009	420.00000000000017	150.00000000000009	13.333333333333963	420.0000000000008	201.3236621534496	275.1401015228419	19.99999999999971	13.333333333333323	430.0
